업태명,소재지지번,소재지전화번호,영업일,소재지도로명,메뉴,시군구코드,업소명
,,,월-금,,매운등갈비찜 1인(2인이상가능),,
,,,오후 5시 30분 - 자정 12시,,"11,000원",,
,,,,,등갈비전골 中/大,,
,,,,,"25,000원",,
감성주점,서울특별시 강남구 신사동 657번지 16호,,영업시간 정보가 없습니다.,서울특별시 강남구 선릉로155길 28 지하1층 102호 (신사동),메뉴 정보가 없습니다.,11680,홀리데이서울
감성주점,서울특별시 강남구 신사동 662번지 15호,0-2512-3888,영업시간 정보가 없습니다.,서울특별시 강남구 선릉로161길 15 지하1층 (신사동),메뉴 정보가 없습니다.,11680,몰토라운지
감성주점,서울특별시 강남구 신사동 661번지 13호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 선릉로161길 18 지하1층 (신사동),메뉴 정보가 없습니다.,11680,넥스투(NEX2)
감성주점,서울특별시 강남구 대치동 889번지 72호 선릉 MT 빌딩,,토요일,서울특별시 강남구 선릉로86길 17 선릉 MT 빌딩 2층 201호202호 (대치동),핸드메이드 애플 타르트와 바닐라 크림,11680,글래드유(GLADU)
,,,오전 11시 - 오후 8시,,"7,500원",,
,,,일요일,,아메리카노,,
,,,오전 11시 - 오후 7시,,"4,000원",,
,,,,,오레그랏세,,
,,,,,"6,000원",,
감성주점,서울특별시 강남구 대치동 896번지 34호,,영업시간 정보가 없습니다.,서울특별시 강남구 선릉로86길 40 2층 (대치동),메뉴 정보가 없습니다.,11680,88노가리 선릉점
감성주점,서울특별시 강남구 대치동 896번지 36호,,매일,서울특별시 강남구 선릉로86길 42 지하1층 (대치동),해산물안주,11680,에스엔엘 바(SNL BAR)
,,,오후 6시 - 오전 3시,,,,
감성주점,서울특별시 강남구 신사동 507번지 4호,,"월-금,토",서울특별시 강남구 압구정로2길 28 지하1층 (신사동),탈리스커 10년,11680,재즈 잇 업
,,,오후 8시 - 오전 3시,,"210,000원",,
,,,휴무일,,엡솔루트 오리지널,,
,,,매주 일요일,,"130,000원",,
,,,,,야미자키 12년,,
,,,,,"260,000원",,
감성주점,서울특별시 강남구 신사동 634번지 16호,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로42길 54 지하1층 (신사동),메뉴 정보가 없습니다.,11680,동방주막
감성주점,서울특별시 강남구 신사동 647번지 4호,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로46길 53 지하1층 (신사동),메뉴 정보가 없습니다.,11680,물라라운지
감성주점,서울특별시 강남구 신사동 648번지 23호,,매일,서울특별시 강남구 압구정로46길 71-1 지하1층 (신사동),사골탕,11680,벙커프로젝트(BUNKER PROJECT)
,,,오후 6시 - 오전 6시,,"18,000원",,
,,,,,마라사골탕,,
,,,,,"19,000원",,
,,,,,꽃게탕,,
,,,,,"22,000원",,
감성주점,서울특별시 강남구 신사동 523번지 28호,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로4길 27-2 지상45층 (신사동),메뉴 정보가 없습니다.,11680,팬더룸(pantherroom)
감성주점,서울특별시 강남구 신사동 523번지 28호,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로4길 27-2 지상4층 (신사동),메뉴 정보가 없습니다.,11680,팬더룸(pantherroom)
감성주점,서울특별시 강남구 청담동 101번지 6호 지하1층,,매일,서울특별시 강남구 압구정로71길 10 지하1층 (청담동),조식,11680,테라스
,,,정오 12시 - 오후 2시 30분 (점심),,"55,000원",,
,,,월-금,,주중 점심,,
,,,오전 6시 30분 - 오전 10시 (조식),,"95,000원",,
,,,,,주중 저녁,,
,,,,,"115,000원",,
감성주점,서울특별시 강남구 청담동 101번지 6호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로71길 10 지하1층 (청담동),메뉴 정보가 없습니다.,11680,보르도
감성주점,서울특별시 강남구 청담동 101번지 6호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 압구정로71길 10 지하1층 (청담동),메뉴 정보가 없습니다.,11680,엘리시움
감성주점,서울특별시 강남구 청담동 101번지 6호 지하1층,,매일,서울특별시 강남구 압구정로71길 10 지하1층 (청담동),주중 런치 - 돌솥밥 특선,11680,포시즌 다이닝
,,,오전 6시 30분 - 오전 10시 30분 (조식),,,,
,,,매일,,,,
,,,오전 11시 30분 - 오후 2시 30분 (점심),,,,
감성주점,서울특별시 강남구 청담동 121번지 28호,,월-금,서울특별시 강남구 압구정로79길 19 지상1층 101호 (청담동),로버스트포터 (ROBUST PORTER w/ Vanilla and Cacao),11680,(주)카브루 서울브루어리
,,,오후 6시 - 자정 12시 (명절 전일 당일 휴무),,"8,000원",,
,,,금요일,,샐린저 호밀 IPA (RYE IPA),,
,,,오후 6시 - 자정 12시,,"7,000원",,
,,,,,캘리포니아 커먼 (California Common),,
,,,,,"7,000원",,
감성주점,서울특별시 강남구 개포동 649번지 경남아파트,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로 110 경남2차상가동 지상2층 3호 (개포동 경남아파트),메뉴 정보가 없습니다.,11680,송송책방
감성주점,서울특별시 강남구 논현동 249번지 쌍둥이빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로 634 쌍둥이빌딩 지하2층 (논현동),메뉴 정보가 없습니다.,11680,케이 씨 엘(KCL)
감성주점,서울특별시 강남구 논현동 249번지 쌍둥이빌딩,,"월-금,토",서울특별시 강남구 언주로 634 쌍둥이빌딩 지하2층 (논현동),生양고기 양살치,11680,하나비
,,,오후 5시 - 자정 12시,,"27,000원",,
,,,휴무일,,生양고기 양등심,,
,,,매주 일요일,,"25,000원",,
,,,,,生양갈비 프렌치랙,,
,,,,,"29,000원",,
감성주점,서울특별시 강남구 논현동 249번지 쌍둥이빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로 634 쌍둥이빌딩 지하2층 (논현동),메뉴 정보가 없습니다.,11680,케이시엘(KCL)
감성주점,서울특별시 강남구 논현동 97번지 26호,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로150길 14 지하1층 (논현동),메뉴 정보가 없습니다.,11680,윈
감성주점,서울특별시 강남구 논현동 95번지 4호,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로150길 48 지하1층 (논현동),메뉴 정보가 없습니다.,11680,롤
감성주점,서울특별시 강남구 논현동 95번지 7호 진명빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로150길 50 진명빌딩 지하1층 (논현동),메뉴 정보가 없습니다.,11680,원 라이브(one live)
감성주점,서울특별시 강남구 논현동 95번지 7호 진명빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로150길 50 진명빌딩 지하1층 (논현동),메뉴 정보가 없습니다.,11680,원(One)
감성주점,서울특별시 강남구 신사동 643번지 27호,,영업시간 정보가 없습니다.,서울특별시 강남구 언주로170길 25 지하1층 (신사동),메뉴 정보가 없습니다.,11680,888라운지
감성주점,서울특별시 강남구 역삼동 703번지 7호 루트원 레지던스,,매일,서울특별시 강남구 언주로98길 36 루트원 레지던스 지상1층 101호 (역삼동),밀푀유 바닐라,11680,카페드 리옹
,,,오전 9시 - 오후 11시,,"6,800원",,
,,,,,밀푀유 마롱,,
,,,,,"6,800원",,
,,,,,밀푀유 딸기,,
,,,,,"6,800원",,
감성주점,서울특별시 강남구 역삼동 832번지 16호 BIEL 106,,영업시간 정보가 없습니다.,서울특별시 강남구 역삼로 106 BIEL 106 지상1층 101호 (역삼동),메뉴 정보가 없습니다.,11680,탑에스
감성주점,서울특별시 강남구 역삼동 830번지 9호,,매일,서울특별시 강남구 역삼로3길 20-4 지하1층 (역삼동),타파스 메뉴,11680,휴일(Hueil)
,,,오후 5시 30분 - 오전 2시 (매주 일요일 휴무),,"5,900원",,
,,,,,레드 와인,,
,,,,,"2,900원",,
,,,,,화이트 와인,,
,,,,,"2,900원",,
감성주점,서울특별시 강남구 대치동 955번지 13호 동현빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 역삼로83길 18 동현빌딩 지상1층 (대치동),메뉴 정보가 없습니다.,11680,헬렌스키친
감성주점,서울특별시 강남구 대치동 889번지 56호,,월-금,서울특별시 강남구 테헤란로64길 14 103호 (대치동),아메리카노,11680,에슬로우 선릉2호점
,,,오전 7시 - 오후 11시,,"3,000원",,
,,,,,바닐라라떼,,
,,,,,"3,800원",,
,,,,,더치 코코넛 스무디,,
,,,,,"5,000원",,
감성주점,서울특별시 강남구 삼성동 158번지 12호 서영빌딩,,영업시간 정보가 없습니다.,서울특별시 강남구 테헤란로87길 13 서영빌딩 지하1층 B01호 (삼성동),메뉴 정보가 없습니다.,11680,그레이(GRAY)
경양식,서울특별시 강남구 압구정동 380번지 2호 한강잠원지구수상유선,02 5168788,매일,,T-bone Set (2인),11680,오엔 바앤다이닝
,,,"오전 11시 - 오전 5시 (연중무휴 Last order 조리 새벽 03:30, 음주류 새벽 05:00)",,"165,000원",,
,,,,,Couple Set (2인),,
,,,,,"79,000원",,
,,,,,Mozza Gratin Chili Ttock Bok Ki,,
,,,,,"26,000원",,
경양식,서울특별시 강남구 논현동 62번지 12호,02 5185825,"화,수,목,금",,삼선짜장면,11680,(주)일미오소뇨
,,,오전 11시 30분 - 오후 9시 30분,,"8,000원",,
,,,"쉬는시간 매주 화,수,목,금",,삼선짬뽕,,
,,,오후 3시 - 오후 5시,,"9,000원",,
,,,,,전가복,,
,,,,,"85,000원",,
경양식,서울특별시 강남구 삼성동 159번지 9호 지하1층 멀티플랙스내,02 5406640,"화,수,목,금",,삼선짜장면,11680,(주)아이비앤비
,,,오전 11시 30분 - 오후 9시 30분,,"8,000원",,
,,,"쉬는시간 매주 화,수,목,금",,삼선짬뽕,,
,,,오후 3시 - 오후 5시,,"9,000원",,
,,,,,전가복,,
,,,,,"85,000원",,
경양식,서울특별시 강남구 압구정동 396번지 1호 지하,02 5464298,영업시간 정보가 없습니다.,,메뉴 정보가 없습니다.,11680,퐁퐁
경양식,서울특별시 강남구 청담동 121번지 29호 지상2층,02 5465008,매일,,"촌닭 백숙 , 조립닭 , 도리탕",11680,해와달
,,,오전 11시 - 오후 8시 30분 (매주 목요일 휴무),,"45,000원",,
,,,,,코다리찜 대,,
,,,,,"35,000원",,
,,,,,코다리찜 중,,
,,,,,"25,000원",,
경양식,서울특별시 강남구 역삼동 720번지 20호 지상1층 101호,02 5523131,매일,,메뉴 정보가 없습니다.,11680,세브도르와인바
,,,"오전 9시 - 오전 1시 (주말(토,일)/공휴일 12시부터 22시까지.)",,,,
경양식,서울특별시 강남구 역삼동 837번지 18호,02 5532226,월-금,,떡볶이,11680,샤론
,,,오전 7시 30분 - 오후 8시,,"2,500원",,
,,,,,순대,,
,,,,,"3,000원",,
,,,,,김밥,,
,,,,,"2,500원",,
경양식,서울특별시 강남구 대치동 938번지 0호 지하2층,02 5582626,매일,,메뉴 정보가 없습니다.,11680,한우사랑
,,,오후 5시 - 오후 9시,,,,
경양식,서울특별시 강남구 삼성동 159번지 9호 T4,02 5755223,매일,,코리안비프 탄포포,11680,오므토토마토
,,,오전 11시 - 오후 9시 30분,,"13,000원",,
,,,,,불타는 치킨 도리아,,
,,,,,"11,000원",,
,,,,,매콤 비프 오므라이스,,
,,,,,"12,000원",,
경양식,서울특별시 강남구 역삼동 808번지 2호,02-0555-9427,"월-금,토",,사바(고등어)벤또,11680,단뽀뽀
,,,오전 11시 30분 - 오후 9시 (영업시간(LAST ORDER 20:30).),,"10,000원",,
,,,"월-금,토",,연어벤또,,
,,,오후 3시 - 오후 5시 (break time (Lunch last order 14:30)),,"12,000원",,
,,,,,규동,,
,,,,,"9,000원",,
경양식,서울특별시 강남구 삼성동 159번지 9호 공항타워 지하2층 A-1호,02-2016-5432,매일,,에스프레소,11680,미라지
,,,오전 11시 - 오후 11시,,"5,000원",,
,,,,,크림커피,,
,,,,,"6,500원",,
,,,,,드립커피,,
,,,,,"6,500원",,
경양식,서울특별시 강남구 압구정동 380번지 2호 한강잠원지구수상유선장23층,02-3442-1582,매일,,T-bone Set (2인),11680,오엔
,,,"오전 11시 - 오전 5시 (연중무휴 Last order 조리 새벽 03:30, 음주류 새벽 05:00)",,"165,000원",,
,,,,,Couple Set (2인),,
,,,,,"79,000원",,
,,,,,Mozza Gratin Chili Ttock Bok Ki,,
,,,,,"26,000원",,
경양식,서울특별시 강남구 청담동 133번지 3호 지하1층,0-2547-0400,"월-금,토",,킹 쉬림프 파스타,11680,파티오알
,,,오후 5시 - 오전 2시,,"22,000원",,
,,,휴무일,,만조피자,,
,,,매주 일요일,,"22,000원",,
,,,,,세계병맥주,,
경양식,서울특별시 강남구 청담동 129-346번지 지상1층,0-542-7177,에스프레소,,메뉴 정보가 없습니다.,11680,블루펄호텔커피?
,,,"3,000원",,,,
,,,아메리카노,,,,
,,,"3,000원",,,,
,,,카페라떼,,,,
,,,"3,500원",,,,
경양식,서울특별시 강남구 삼성동 159번지 9호 코엑스몰지하1층M3a,0-6002-7150,영업시간 정보가 없습니다.,,메뉴 정보가 없습니다.,11680,재키스키친코리아주식회사
경양식,서울특별시 강남구 도곡동 946번지 12호,02 5712471,영업시간 정보가 없습니다.,서울특별시 강남구 강남대로 280 (도곡동),메뉴 정보가 없습니다.,11680,딕훼밀리7080
경양식,서울특별시 강남구 역삼동 831번지 23호 12층,,월-금,서울특별시 강남구 강남대로 352 12층 (역삼동),슈바이네학센,11680,에스피씨(SPC)스퀘어 라뜰리에 베라피자 그릭슈바인
,,,오전 11시 - 오후 11시 (라스트오더 22:30),,"39,000원",,
,,,토/일,,바베큐콤보,,
,,,오전 11시 30분 - 오후 9시 30분 (라스트오더 21:00),,"39,000원",,
,,,,,커리부어스트,,
,,,,,"13,000원",,
경양식,서울특별시 강남구 역삼동 831번지 23호 12층,,영업시간 정보가 없습니다.,서울특별시 강남구 강남대로 352 12층 (역삼동),메뉴 정보가 없습니다.,11680,에스피씨(SPC)스퀘어 라뜰리에 베라피자 그릭슈바인 커피앳웍스
경양식,서울특별시 강남구 역삼동 831번지 23호 3층,,매일,서울특별시 강남구 강남대로 352 3층 (역삼동),시저 샐러드,11680,라그릴리아 강남스퀘어점
,,,오전 11시 - 오후 10시 (21:00 주문마감),,"13,900원",,
,,,,,새우 버섯 샐러드,,
,,,,,"18,900원",,
,,,,,해산물 토마토 스파게티,,
,,,,,"16,900원",,
경양식,서울특별시 강남구 역삼동 826번지 14호 지하1층,02 34661962,"월-금,토",서울특별시 강남구 강남대로 358 (역삼동지하1층),시져 샐러드,11680,블루밍가든강남점
,,,오전 11시 30분 - 오후 10시,,"18,000원",,
,,,일요일,,대하 아보카도 샐러드,,
,,,오전 11시 30분 - 오후 9시 (Break Time 없음.(공휴일 포함)),,"23,000원",,
,,,,,제주 황게 로제,,
,,,,,"24,000원",,
경양식,서울특별시 강남구 역삼동 826번지 14호 강남358타워,,월-금,서울특별시 강남구 강남대로 358 강남358타워 1층 (역삼동),BOWL,11680,피그인더가든 강남점
,,,오전 8시 - 오후 10시,,9900~13900,,
,,,토/일,,PLATE,,
,,,오전 10시 - 오후 9시,,13900~15900,,
,,,,,MAKE YOUR OWN,,
,,,,,"7,900원",,
경양식,서울특별시 강남구 역삼동 826번지 14호 강남358타워,,매일,서울특별시 강남구 강남대로 358 강남358타워 2층 201호 (역삼동),쉬림프 포보이,11680,샤이바나
,,,오전 11시 30분 - 오후 9시 30분 (연중무휴),,"11,900원",,
,,,,,에그 인 헬,,
,,,,,"14,900원",,
,,,,,사이드세트,,
,,,,,"13,900원",,
경양식,서울특별시 강남구 역삼동 826번지 14호,02 66703600,"월-금,토",서울특별시 강남구 강남대로 358 지하1층 (역삼동),프렌치 어니언 스프,11680,붓처스컷 강남점
,,,오전 11시 30분 - 오후 10시,,"14,000원",,
,,,일요일,,클래식 콥 샐러드,,
,,,오전 11시 30분 - 오후 9시 (Break Time 없음.),,"23,000원",,
,,,,,뉴욕 스트립,,
,,,,,"58,000원",,
경양식,서울특별시 강남구 역삼동 826번지 20호 대륭타워1층,02 538 2369,매일,서울특별시 강남구 강남대로 362 (역삼동대륭타워1층),롱블랙/아메리카노,11680,투썸플레이스 강남대륭타워점
,,,오전 7시 30분 - 오후 10시 30분 (휴무일 없음),,"4,100원",,
,,,,,숏라떼/카페라떼/카푸치노,,
,,,,,"4,600원",,
,,,,,바닐라 라떼/카페 모카,,
,,,,,"5,100원",,
경양식,서울특별시 강남구 역삼동 826번지 20호 대륭타워1층,02 538 2369,매일,서울특별시 강남구 강남대로 362 (역삼동대륭타워1층),아메리카노,11680,투썸플레이스 주식회사
,,,오전 8시 - 오후 11시,,"4,100원",,
,,,,,롱블랙,,
,,,,,"4,100원",,
,,,,,숏라떼,,
,,,,,"4,600원",,
경양식,서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하1층,02 5100865,휴무일,서울특별시 강남구 강남대로 382 (역삼동메리츠타워지하1층),짜장면,11680,(주)아워홈키사라 강남
,,,매주 월요일,,"5,000원",,
,,,,,"삼선짜장, 삼선짬뽕 각",,
,,,,,"10,000원",,
,,,,,쟁반짜장 2인,,
,,,,,"12,000원",,
경양식,서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하1층,02 5100865,매일,서울특별시 강남구 강남대로 382 (역삼동메리츠타워지하1층),황소곱창,11680,계절의 맛 강남
,,,오후 4시 - 오전 1시,,"23,000원",,
,,,,,모둠구이,,
,,,,,"20,000원",,
,,,,,대창구이,,
,,,,,"20,000원",,
경양식,서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하1층,02-2018-0903,휴무일,서울특별시 강남구 강남대로 382 (역삼동메리츠타워지하1층),짜장면,11680,(주)아워홈아모리스강남
,,,매주 월요일,,"5,000원",,
,,,,,"삼선짜장, 삼선짬뽕 각",,
,,,,,"10,000원",,
,,,,,쟁반짜장 2인,,
,,,,,"12,000원",,
경양식,서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하2층,02 20180900,영업시간 정보가 없습니다.,서울특별시 강남구 강남대로 382 (역삼동메리츠타워지하2층),메뉴 정보가 없습니다.,11680,자스민메리츠타워점
경양식,서울특별시 강남구 역삼동 825번지,02-3469-0999,영업시간 정보가 없습니다.,서울특별시 강남구 강남대로 390 (역삼동),메뉴 정보가 없습니다.,11680,시리우스
경양식,서울특별시 강남구 역삼동 825번지 미진프라자21층,0--2,매일,서울특별시 강남구 강남대로 390 (역삼동미진프라자21층),비발디 (Vivaldi),11680,크리스탈스카이라운지
,,,오후 6시 - 오후 9시 30분 (저녁),,"99,000원",,
,,,매일,,로씨니 (Rossini),,
,,,오후 9시 30분 - 자정 12시 (Bar),,"129,000원",,
,,,,,일 브런치,,
,,,,,"79,000원",,
경양식,서울특별시 강남구 역삼동 820번지 9호 GLASS TOWER,02 565 8830,매일,서울특별시 강남구 강남대로 406 GLASS TOWER 지하1층 B01-1호 (역삼동),감성그릴파히타,11680,(주)감성타코 강남역점
,,,오전 11시 30분 - 오후 10시 (// 라스트오더 21:00),,"38,000원",,
,,,,,트리플미트파히타,,
,,,,,"35,000원",,
,,,,,베르데숏립퀘사디아,,
,,,,,"14,000원",,
경양식,서울특별시 강남구 역삼동 820번지 8호 지하1층,02 5566414,영업시간 정보가 없습니다.,서울특별시 강남구 강남대로 408 (역삼동지하1층),메뉴 정보가 없습니다.,11680,피어날레
경양식,서울특별시 강남구 역삼동 820번지 5호,02 538 9967,"화,수,목,금",서울특별시 강남구 강남대로 410 지하1층 (역삼동),삼선짜장면,11680,(주)영길
,,,오전 11시 30분 - 오후 9시 30분,,"8,000원",,
,,,"쉬는시간 매주 화,수,목,금",,삼선짬뽕,,
,,,오후 3시 - 오후 5시,,"9,000원",,
,,,,,전가복,,
,,,,,"85,000원",,
경양식,서울특별시 강남구 역삼동 816번지 3호 2층,02 501 0885,매일,서울특별시 강남구 강남대로 416 (역삼동2층),빠네 파스타,11680,프리모 바치오바치
,,,오전 11시 - 오후 11시 (Last order 22:00 / 명절당일휴무),,"14,000원",,
,,,,,고르곤졸라 피,,
,,,,,"16,000원",,
,,,,,할라피뇨 폴로,,
,,,,,"10,000원",,
경양식,서울특별시 강남구 역삼동 816번지 1호,,매일,서울특별시 강남구 강남대로 420 (역삼동),수프림 타코,11680,타코벨 강남지점
,,,오전 10시 - 자정 12시,,"3,000원",,
,,,,,수프림 타코 세트,,
,,,,,"7,600원",,
,,,,,더블 치즈 데커 타코,,
,,,,,"3,400원",,
